period,e_period,freq,e_freq,match,imatch
0.4242058797593876,6.72203560543874e-06,2.357345920257415,3.735488819554822e-05,0,-1
0.43179953773239116,2.06278544930213e-05,2.3158894640127023,0.0001106342798245,0,-1
0.43534327794745287,1.949420439982529e-05,2.2970378794288004,0.0001028588890745,0,-1
0.4420132863096095,3.2893501035818315e-05,2.2623754329853947,0.0001683602076074,0,-1
0.4509912705918531,1.0495872295658582e-05,2.2173378182856216,5.160386928668971e-05,0,-1
0.4537687912948271,5.692409949637712e-06,2.2037654840618384,2.764565745551921e-05,0,-1
0.4590383531916288,2.1208245409108545e-06,2.1784672087792694,1.0064838124800286e-05,0,-1
0.4614926665755844,3.632791093286393e-06,2.1668816699088707,1.705732073504406e-05,0,-1
0.4638867072153142,6.784983712138909e-06,2.1556987610249574,3.153007136081502e-05,0,-1
0.47051276932240893,1.1870766688572482e-05,2.1253408306858748,5.362112737365672e-05,0,-1
0.4725654793123054,9.229372468025853e-06,2.1161088648608795,4.132836136298769e-05,0,-1
0.48434175996788476,3.574620297236586e-05,2.0646578153126978,0.0001523793392078,0,-1
